                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5301,                 2.1082,                 1.9498,                0.91675,                0.66743,                0.84263,                0.40366,                 1.8959,                 3.1461,                 2.3331,             0.00065517,             0.00065517,             0.00065517
                      2,                 1.0145,                 1.2039,                  1.439,                0.97468,                0.97835,                0.99416,                0.81403,                0.75863,                 1.5587,                0.98359,               0.001191,               0.001191,               0.001191
                      3,                0.95066,                0.98315,                 1.3765,                0.96699,                0.97403,                0.98121,                0.68981,                0.93001,                  1.046,                 1.3094,              0.0015948,              0.0015948,              0.0015948
                      4,                0.88596,                0.84733,                 1.3442,                0.92167,                0.94805,                 0.9459,                0.59797,                 1.1904,                 1.2071,                 1.7733,               0.001406,               0.001406,               0.001406
                      5,                0.81833,                0.74716,                 1.2869,                0.98254,                0.97835,                0.99042,                0.71587,                0.96743,                0.86024,                 1.2484,               0.001208,               0.001208,               0.001208
                      6,                0.81073,                0.70234,                 1.2962,                0.99955,                0.99567,                  0.995,                0.83936,                0.64614,                0.60953,                0.81393,                0.00101,                0.00101,                0.00101
                      7,                0.72697,                0.63205,                 1.2365,                      1,                0.99493,                  0.995,                0.83845,                0.70839,                0.53864,                0.96674,               0.000812,               0.000812,               0.000812
                      8,                 0.7018,                0.60184,                 1.2139,                0.99971,                0.99567,                  0.995,                0.89159,                0.49713,                0.47132,                0.68151,               0.000614,               0.000614,               0.000614
                      9,                0.63876,                0.54648,                 1.1874,                0.99967,                0.99567,                  0.995,                0.89192,                0.47042,                0.36301,                0.68411,               0.000416,               0.000416,               0.000416
                     10,                0.59135,                0.50378,                 1.1356,                0.99969,                0.99567,                  0.995,                0.94443,                0.38725,                0.37938,                0.59279,               0.000218,               0.000218,               0.000218
                      1,                 1.5301,                 2.1082,                 1.9498,                0.91675,                0.66743,                0.84263,                0.40366,                 1.8959,                 3.1461,                 2.3331,             0.00065517,             0.00065517,             0.00065517
                      2,                 1.0145,                 1.2039,                  1.439,                0.97468,                0.97835,                0.99416,                0.81403,                0.75863,                 1.5587,                0.98359,               0.001191,               0.001191,               0.001191
                      3,                0.95066,                0.98315,                 1.3765,                0.96699,                0.97403,                0.98121,                0.68981,                0.93001,                  1.046,                 1.3094,              0.0015948,              0.0015948,              0.0015948
                      4,                0.88596,                0.84733,                 1.3442,                0.92167,                0.94805,                 0.9459,                0.59797,                 1.1904,                 1.2071,                 1.7733,               0.001406,               0.001406,               0.001406
                      5,                0.81833,                0.74716,                 1.2869,                0.98254,                0.97835,                0.99042,                0.71587,                0.96743,                0.86024,                 1.2484,               0.001208,               0.001208,               0.001208
                      6,                0.81073,                0.70234,                 1.2962,                0.99955,                0.99567,                  0.995,                0.83936,                0.64614,                0.60953,                0.81393,                0.00101,                0.00101,                0.00101
                      7,                0.72697,                0.63205,                 1.2365,                      1,                0.99493,                  0.995,                0.83845,                0.70839,                0.53864,                0.96674,               0.000812,               0.000812,               0.000812
                      8,                 0.7018,                0.60184,                 1.2139,                0.99971,                0.99567,                  0.995,                0.89159,                0.49713,                0.47132,                0.68151,               0.000614,               0.000614,               0.000614
                      9,                0.63876,                0.54648,                 1.1874,                0.99967,                0.99567,                  0.995,                0.89192,                0.47042,                0.36301,                0.68411,               0.000416,               0.000416,               0.000416
                     10,                0.59135,                0.50378,                 1.1356,                0.99969,                0.99567,                  0.995,                0.94443,                0.38725,                0.37938,                0.59279,               0.000218,               0.000218,               0.000218
                      1,                 1.5177,                 2.0789,                 1.9478,                0.59224,                0.18966,                0.20902,                0.06308,                 3.0439,                 4.4706,                 3.5984,             0.00065517,             0.00065517,             0.00065517
                      2,                 1.0463,                  1.272,                 1.4762,                0.96608,                0.98206,                0.99281,                0.62872,                 1.4083,                 1.6006,                 1.9725,               0.001191,               0.001191,               0.001191
                      3,                0.97374,                  1.056,                 1.4041,                 0.8879,                0.95591,                0.92367,                0.57921,                 1.0168,                  1.336,                 1.3731,              0.0015948,              0.0015948,              0.0015948
                      4,                0.91825,                0.91822,                 1.3572,                0.97298,                0.96552,                0.99225,                0.70128,                0.96928,                0.90789,                 1.2122,               0.001406,               0.001406,               0.001406
                      5,                0.84665,                0.78722,                 1.2976,                0.98943,                0.99569,                0.99491,                0.82051,                0.79069,                0.78029,                 1.0735,               0.001208,               0.001208,               0.001208
                      6,                0.79786,                0.70892,                 1.2658,                0.99471,                0.99569,                  0.995,                0.76697,                0.86069,                0.54942,                  1.061,                0.00101,                0.00101,                0.00101
                      7,                 0.7363,                0.66094,                 1.2305,                0.99137,                0.99022,                0.99491,                0.87735,                0.54042,                0.63663,                0.82017,               0.000812,               0.000812,               0.000812
                      8,                0.67944,                0.61844,                  1.201,                 0.9985,                0.99569,                  0.995,                0.92016,                0.56304,                0.61614,                0.72913,               0.000614,               0.000614,               0.000614
                      9,                0.65682,                0.54452,                 1.1772,                0.99947,                0.99569,                  0.995,                0.90575,                0.48288,                0.42694,                 0.6697,               0.000416,               0.000416,               0.000416
                     10,                0.60253,                0.52005,                 1.1495,                0.99972,                0.99569,                  0.995,                0.92428,                0.47788,                0.43084,                0.66932,               0.000218,               0.000218,               0.000218
